Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
User,Chrome 67.0.3396.99,,2018-07-24 16:40:26,2018-07-24 16:41:11,44.651s,FAILED
,,,,,,
Test Cases/Validate/Test 1,Chrome 67.0.3396.99,,2018-07-24 16:40:26,2018-07-24 16:41:10,43.745s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 16:40:26,2018-07-24 16:40:29,2.837s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-24 16:40:29,2018-07-24 16:40:34,4.768s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:40:34,2018-07-24 16:40:34,0.137s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-24 16:40:34,2018-07-24 16:40:34,0.104s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-24 16:40:34,2018-07-24 16:40:34,0.283s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:40:34,2018-07-24 16:40:37,2.273s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:40:37,2018-07-24 16:40:38,1.514s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:40:38,2018-07-24 16:40:39,0.605s,PASSED
click,Chrome 67.0.3396.99,,2018-07-24 16:40:39,2018-07-24 16:41:10,30.980s,FAILED
